No.,Recipe Name,Protein (g),Carbs (g),Fat (g),Total Calories,Serving Size,Time of Day,Preparation Instructions,Veg / Non-veg
612,Cheese & Whole Grain Crackers,10,15,8,200,1 serving,Snack,Pair cheese slices with whole grain crackers for a satisfying snack.,Veg
613,Cucumber & Cream Cheese Bites,3,5,5,50,1 cucumber,Snack,"Spread cream cheese on cucumber slices, sprinkle with herbs.",Veg
614,Popcorn with Nutritional Yeast,5,15,5,100,3 cups,Snack,Popcorn sprinkled with nutritional yeast for a cheesy flavor without the calories.,Veg
615,Dark Chocolate-Covered Almonds,5,10,10,150,1 oz,Snack,Enjoy almonds dipped in dark chocolate for a sweet and salty treat.,Veg
616,Greek Yogurt Parfait,15,25,5,200,1 cup,Snack,Layer Greek yogurt with granola and fresh fruits in a cup.,Veg
617,Celery Sticks with Peanut Butter,4,10,8,100,2 stalks,Snack,Spread peanut butter in celery sticks for a crunchy snack.,Veg
618,Mini Caprese Skewers,8,5,5,100,4 skewers,Snack,"Skewer cherry tomatoes, mozzarella balls, and basil for a fresh bite.",Veg
619,Sweet Potato Chips,2,15,5,100,1 serving,Snack,Bake thinly sliced sweet potatoes until crispy for a healthy chip alternative.,Veg
620,Fruit Salad,1,25,0,100,1 cup,Snack,Mix assorted fresh fruits for a refreshing salad.,Veg
621,Nut Butter Energy Bites,5,15,8,150,2 bites,Snack,"Combine nut butter, oats, and honey, roll into balls, and refrigerate.",Veg
622,Zucchini Chips,2,10,5,80,1 serving,Snack,Bake thinly sliced zucchini until crispy for a low-carb snack.,Veg
623,Yogurt & Granola Bowl,15,30,5,250,1 bowl,Snack,Layer yogurt with granola and a drizzle of honey for a satisfying treat.,Veg
624,Spicy Roasted Chickpeas,6,20,5,120,1/2 cup,Snack,Roast chickpeas with spices until crispy for a crunchy snack.,Veg
625,Avocado Toast,3,15,10,150,1 slice,Snack,"Spread mashed avocado on whole grain toast, sprinkle with salt and pepper.",Veg
626,Cheese Quesadilla,10,20,10,250,1 serving,Snack,"Fill a tortilla with cheese, fold, and cook until golden and melted.",Veg
628,Cacao Nibs & Almonds,5,10,10,150,1 oz,Snack,"Mix cacao nibs with almonds for a crunchy, chocolatey snack.",Veg
629,Roasted Seaweed Snacks,1,5,3,30,1 package,Snack,Enjoy crispy roasted seaweed sheets for a light and savory snack.,Veg
630,Peanut Butter Banana Bites,4,20,8,150,1 banana,Snack,Slice a banana and spread peanut butter between the slices.,Veg
631,Chocolate Avocado Mousse,2,15,10,150,1 serving,Snack,Blend avocado with cocoa powder and sweetener for a creamy dessert.,Veg
632,Veggie Sticks with Hummus,5,15,5,100,1 serving,Snack,Serve assorted veggie sticks with hummus for dipping.,Non-Veg
633,Apple Chips,0,25,0,100,1 serving,Snack,Bake thin apple slices until crispy for a healthy snack.,Veg
634,Chia Seed Pudding,5,15,5,150,1 cup,Snack,"Mix chia seeds with almond milk and let sit overnight, sweeten if desired.",Veg
635,Pita Chips with Salsa,5,20,5,150,1 serving,Snack,Serve baked pita chips with fresh salsa for dipping.,Veg
636,Coconut Yogurt with Granola,5,30,10,250,1 cup,Snack,Top coconut yogurt with granola and fresh fruit for a tropical treat.,Veg
637,Baked Kale Chips,3,5,5,50,1 serving,Snack,Bake kale leaves with olive oil and salt until crispy for a healthy chip alternative.,Veg
638,Nutty Banana Bites,4,20,8,150,1 banana,Snack,Slice a banana and top with almond or peanut butter and chopped nuts.,Veg
639,Mini Veggie Frittatas,8,5,5,100,2 frittatas,Snack,"Whisk eggs with diced vegetables, pour into muffin tins, and bake until set.",Non-Veg
640,Cinnamon Sugar Tortilla Chips,3,20,5,150,1 serving,Snack,Bake tortilla triangles coated with cinnamon and sugar until crispy.,Veg
641,Chocolate-Dipped Strawberries,1,15,5,100,3 strawberries,Snack,Dip fresh strawberries in melted chocolate and let cool until set.,Veg
642,Savory Oatmeal with Egg,6,30,5,200,1 bowl,Snack,"Cook oatmeal with broth, top with a poached egg and season to taste.",Non-Veg
643,Spiced Nuts,6,10,15,200,1 oz,Snack,Roast mixed nuts with spices for a flavorful snack.,Veg
644,Yogurt-Covered Raisins,1,25,5,150,1 oz,Snack,Enjoy raisins coated in yogurt for a sweet treat.,Veg
645,Cucumber Sandwiches,2,10,5,50,2 sandwiches,Snack,Layer cucumber slices between whole grain bread with cream cheese.,Veg
646,Sweet Potato Hummus,5,20,5,150,1 serving,Snack,Blend cooked sweet potatoes with tahini and spices for a unique dip.,Veg
648,Fruit & Nut Trail Mix,5,25,10,200,1/4 cup,Snack,Combine nuts and dried fruits for a quick and healthy trail mix.,Veg
649,Mini Quiches,8,5,5,100,2 quiches,Snack,"Whisk eggs with vegetables and cheese, pour into muffin tins, and bake until set.",Veg
650,Chocolate Coconut Energy Balls,5,15,8,150,2 balls,Snack,"Mix cocoa powder, coconut, and nut butter, roll into balls, and refrigerate.",Veg
651,Spicy Avocado Toast,3,15,10,150,1 slice,Snack,"Spread mashed avocado on whole grain toast, sprinkle with chili flakes.",Veg
652,Baked Apple with Cinnamon,1,25,0,100,1 apple,Snack,"Core an apple, sprinkle with cinnamon, and bake until tender.",Veg
653,Savory Yogurt Dip,5,10,5,100,1 serving,Snack,Mix yogurt with herbs and spices for a savory dip for veggies.,Veg
654,Peanut Butter Rice Cakes,4,15,8,150,2 cakes,Snack,Spread peanut butter on rice cakes and top with banana slices.,Veg
655,Chocolate Banana Smoothie,2,30,5,200,1 serving,Snack,Blend banana with cocoa powder and almond milk for a creamy smoothie.,Veg
656,Cauliflower Buffalo Bites,3,10,5,100,1 serving,Snack,Toss cauliflower florets in buffalo sauce and bake until crispy.,Veg
657,Almond Butter & Celery Sticks,4,10,8,100,2 sticks,Snack,Spread almond butter in celery sticks for a crunchy snack.,Veg
658,Chocolate Chip Protein Balls,5,15,8,150,2 balls,Snack,"Mix protein powder, oats, and chocolate chips, roll into balls, and refrigerate.",Veg
659,Roasted Garlic Hummus,5,15,5,100,1 serving,Snack,Blend roasted garlic with chickpeas and tahini for a flavorful dip.,Veg
660,Sweet Potato & Black Bean Bites,6,20,5,150,4 bites,Snack,"Mix mashed sweet potatoes with black beans, form into bites, and bake.",Veg
661,Coconut Chia Pudding,5,15,10,150,1 cup,Snack,"Mix chia seeds with coconut milk and let sit overnight, sweeten if desired.",Veg
662,Spicy Popcorn,5,15,5,100,3 cups,Snack,Pop popcorn and toss with chili powder and lime juice for a spicy kick.,Veg
663,Mini Veggie Spring Rolls,2,15,5,100,2 rolls,Snack,"Fill rice paper with veggies and herbs, roll tightly, and serve with dipping sauce.",Non-Veg
664,Cinnamon Apple Oatmeal,5,30,5,200,1 bowl,Snack,Cook oats with diced apples and cinnamon for a warm snack.,Veg
665,Avocado & Tomato Salad,3,10,10,150,1 serving,Snack,Toss diced avocado and tomatoes with olive oil and lemon juice.,Veg
666,Peanut Butter Chocolate Rice Cakes,4,15,8,150,2 cakes,Snack,Spread peanut butter on rice cakes and drizzle with melted chocolate.,Veg
